"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2021 January","Borris-In-Ossory-Mountmellick, Laois","5 - 11 years","","","","","","","","","",""
"2021 January","Borris-In-Ossory-Mountmellick, Laois","12 years and over","2.8","0.8","","","","","","","",""
"2021 January","Portlaoise, Laois","5 - 11 years","","","","","","","","","",""
"2021 January","Portlaoise, Laois","12 years and over","2.1","1.1","","","","","","","",""
"2021 January","Graiguecullen -Portarlington, Laois","5 - 11 years","","","","","","","","","",""
"2021 January","Graiguecullen -Portarlington, Laois","12 years and over","2.3","0.6","","","","","","","",""
"2021 January","Carlow, Carlow","5 - 11 years","","","","","","","","","",""
"2021 January","Carlow, Carlow","12 years and over","1.4","0.3","","","","","","","",""
"2021 January","Tullow, Carlow","5 - 11 years","","","","","","","","","",""
"2021 January","Tullow, Carlow","12 years and over","2.2","0.3","","","","","","","",""
"2021 January","Muinebeag, Carlow","5 - 11 years","","","","","","","","","",""
"2021 January","Muinebeag, Carlow","12 years and over","2.1","0.4","","","","","","","",""
"2021 January","Manorhamilton, Leitrim","5 - 11 years","","","","","","","","","",""
"2021 January","Manorhamilton, Leitrim","12 years and over","3","0.4","","","","","","","",""
"2021 January","Ballinamore, Leitrim","5 - 11 years","","","","","","","","","",""
"2021 January","Ballinamore, Leitrim","12 years and over","3.4","0.4","","","","","","","",""
"2021 January","Carrick-On-Shannon, Leitrim","5 - 11 years","","","","","","","","","",""
"2021 January","Carrick-On-Shannon, Leitrim","12 years and over","2.5","0.5","","","","","","","",""
"2021 January","Newcastle West, Limerick","5 - 11 years","","","","","","","","","",""
"2021 January","Newcastle West, Limerick","12 years and over","2.6","0.8","","","","","","","",""
"2021 January","Adare-Rathkeale, Limerick","5 - 11 years","","","","","","","","","",""
"2021 January","Adare-Rathkeale, Limerick","12 years and over","2.6","1","","","","","","","",""
"2021 January","Cappamore-Kilmallock, Limerick","5 - 11 years","","","","","","","","","",""
"2021 January","Cappamore-Kilmallock, Limerick","12 years and over","2.7","0.8","","","","","","","",""
"2021 January","Limerick City West, Limerick","5 - 11 years","","","","","","","","","",""
"2021 January","Limerick City West, Limerick","12 years and over","2.7","1.9","","","","","","","",""
"2021 January","Limerick City North, Limerick","5 - 11 years","","","","","","","","","",""
"2021 January","Limerick City North, Limerick","12 years and over","1.5","0.7","","","","","","","",""
"2021 January","Limerick City East, Limerick","5 - 11 years","","","","","","","","","",""
"2021 January","Limerick City East, Limerick","12 years and over","1.9","0.8","","","","","","","",""
"2021 January","Granard, Longford","5 - 11 years","","","","","","","","","",""
"2021 January","Granard, Longford","12 years and over","3.1","0.7","","","","","","","",""
"2021 January","Ballymahon, Longford","5 - 11 years","","","","","","","","","",""
"2021 January","Ballymahon, Longford","12 years and over","2.7","0.7","","","","","","","",""
"2021 January","Longford, Longford","5 - 11 years","","","","","","","","","",""
"2021 January","Longford, Longford","12 years and over","2.2","0.4","","","","","","","",""
"2021 January","Dundalk-Carlingford, Louth","5 - 11 years","","","","","","","","","",""
"2021 January","Dundalk-Carlingford, Louth","12 years and over","1.5","0.1","","","","","","","",""
"2021 January","Dundalk South, Louth","5 - 11 years","","","","","","","","","",""
"2021 January","Dundalk South, Louth","12 years and over","1.4","0.2","","","","","","","",""
"2021 January","Ardee, Louth","5 - 11 years","","","","","","","","","",""
"2021 January","Ardee, Louth","12 years and over","2.1","0.5","","","","","","","",""
"2021 January","Drogheda Rural, Louth","5 - 11 years","","","","","","","","","",""
"2021 January","Drogheda Rural, Louth","12 years and over","1.9","0.6","","","","","","","",""
"2021 January","Drogheda Urban, Louth","5 - 11 years","","","","","","","","","",""
"2021 January","Drogheda Urban, Louth","12 years and over","1.5","0.8","","","","","","","",""
"2021 January","Ballina, Mayo","5 - 11 years","","","","","","","","","",""
"2021 January","Ballina, Mayo","12 years and over","1.9","0.5","","","","","","","",""
"2021 January","Claremorris, Mayo","5 - 11 years","","","","","","","","","",""
"2021 January","Claremorris, Mayo","12 years and over","2.5","0.6","","","","","","","",""
"2021 January","Castlebar, Mayo","5 - 11 years","","","","","","","","","",""
"2021 January","Castlebar, Mayo","12 years and over","3","1.3","","","","","","","",""
"2021 January","Belmullet, Mayo","5 - 11 years","","","","","","","","","",""
"2021 January","Belmullet, Mayo","12 years and over","3.4","0.1","","","","","","","",""
"2021 January","Westport, Mayo","5 - 11 years","","","","","","","","","",""
"2021 January","Westport, Mayo","12 years and over","2","0.4","","","","","","","",""
"2021 January","Swinford, Mayo","5 - 11 years","","","","","","","","","",""
"2021 January","Swinford, Mayo","12 years and over","2.6","0.3","","","","","","","",""
"2021 January","Kells, Meath","5 - 11 years","","","","","","","","","",""
"2021 January","Kells, Meath","12 years and over","2.5","0.7","","","","","","","",""
