GP_Name,GP_Address,GP_LocationText,GP_LocationLink,latitude,longitude,latitude,longitude
115 Medical,"115 Morehampton Road, Donnybrook, Dublin, D04  A6y8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 A6y8,NA,NA,53.32336979999999,-6.2392354
4th Practice Enhanced Medical Services,"Mallow Business Park, Goulds Hill, Mallow, Cork, P51  Y8ec",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Ntzwjkduwoaky6wg9,NA,NA,52.1198808,-8.656737999999999
Abbeydorney Medical Centre,"Bridge Road, Abbeydorney, Kerry, V92  Yk5x",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Yk5x,NA,NA,52.3450761,-9.6919523
Abbeygrove House Medical Practice,"Abbeygrove House Medical Practice, 31 Sir Harry's Mall, Limerick, Limerick, V94  Dy0x",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Dy0x,NA,NA,52.668295,-8.6191613
Abbey House Medical Centre,"Abbey Road, Navan, Meath, C15  D290",Location And Directions - Google Maps,Https://Maps.google.com/?Q=C15 D290,NA,NA,53.6551595,-6.6868467
Abbeyknockmoy Health Centre,"Cullagh South, Abbeyknockmoy, Galway, H54  H103",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Zsbddog4roecpiju6,NA,NA,53.43428660000001,-8.7547499
Abbeylands Medical,"Abbeylands Centre, Abbeyland, Kildare, W91  Ayt5",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Qyccyiavc5grwwoca,NA,NA,53.291076,-6.6793032
Abbeyleix Health Centre,"Ballinakill Road, Abbeyleix, Laois, R32  A006",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R32 A006,NA,NA,52.9123311,-7.342971
Abbeyleix Medical Centre,"Main Street, Abbeyleix, Laois, R32  R58p",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R32 R58p,NA,NA,52.9069553,-7.3530819
Abbey Medical,"Grogan's Road, Townparks, Wexford Town, Wexford, Y35  Da39",Location And Directions - Google Maps,Https://Maps.app.goo.gl/7cxa13kn7ggcocpa8,NA,NA,52.3352856,-6.4652592
Abbey Medical Centre - Limerick,"Killarney Road, Abbeyfeale, Limerick, Limerick, V94  Fp7r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Fp7r,NA,NA,52.3783138,-9.305571
Abbey River House Medical Practice,"Abbey River House, Charlotte's Quay, Limerick, Limerick, V94  C2nx",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 C2nx,NA,NA,52.6660338,-8.6207877
Abbey Street Medical Centre,"18 Abbey Street, Roscommon Town, Roscommon, F42  Nv90",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F42 Nv90,NA,NA,53.62767179999999,-8.1940139
Abbey Street Medical Centre,"71 Abbey Street Middle, Dublin City, Dublin, D01  E7k5",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D01 E7k5,NA,NA,53.3480707,-6.2606638
Achill Doctors,"Pollagh, Keel, Achill, Mayo, F28  X3y6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F28 X3y6,NA,NA,53.9744322,-10.0852574
Achill Sound Health Centre,"Saint Fionnans Road, Achill, Mayo, F28  W925",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F28 W925,NA,NA,53.9296407,-9.9300355
Acorn Medical Practice,"Unit 4, Clonmahon Place, Ballinagh, Cavan, H12  K7y5",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H12 K7y5,NA,NA,53.9330668,-7.4077679
Adamstown Health Centre,"Adamstown, Enniscorthy, Wexford, Y21  Te82",Location And Directions - Google Maps,Https://Maps.google.com/?Q=Y21 Te82,NA,NA,52.3925308,-6.716033599999999
Adara Primary Care Centre,"Portnoo Road, Ardara, Donegal, F94  Rf29",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F94 Rf29,NA,NA,54.7659013,-8.410307999999999
Adare Family Doctors,"Station Road, Adare, Limerick, V94  Kd45",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Kd45,NA,NA,52.5651736,-8.7912287
Adare Medical Centre,"Adare Village Centre, Station Road, Adare, Limerick, V94  N6kw",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 N6kw,NA,NA,52.5656225,-8.7917527
Agarwal Wellness And Medical Centre,"2 Church View, Lower Main Street, Lucan, Dublin, K78  Y5n9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K78 Y5n9,NA,NA,53.358397,-6.448833599999999
Ailesbury Clinic,"David Lloyd River View, Beech Hill Road, Clonskeagh, Dublin, D04  Af10",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 Af10,NA,NA,53.31483979999999,-6.2348862
Airport Dental And Medical Cork,"Rathmacullig West, Farmers Cross, Ballygarvan, Cork, T12  H5fy",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 H5fy,NA,NA,51.8478113,-8.4716097
