City,Pharmacy_Name,Address,Phone_Number,Website,Email,Opening_Hours,Flu_Vaccines_Offered,COVID-19_Vaccines_Offered,latitude,longitude
Carlow,Arthur Kennedy Chemist Ltd,"Main Street, Hacketstown, Carlow",059 647 1282,http://www.alwaystherepharmacy.ie/,emailinginfo@alwaystherepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups",NA,52.8646845,-6.557637
Carlow,Ballon Pharmacy,"Unit 3, Main Street, Ballon, Carlow, R93 W92A",059 915 9793,https://www.google.ie/maps/search/R93%20W92A,info@ballonpharmacy.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.6016176,-6.9286897
Carlow,Kelly's Pharmacy Carlow,"Hanover Plaza, Kennedy Avenue, Carlow Town, Carlow, R93 P2Y2",059 904 3007,https://www.google.ie/maps/search/R93%20P2Y2,otckellys@gmail.com,NA,NA,COVID-19 vaccines being offered:; 12 years and over,52.83466379999999,-6.929257
Carlow,Kissane's Pharmacy,"Main Street, Borris, Carlow, R95 EK44",059 977 1874,https://www.google.ie/maps/search/R95%20EK44,Info@kissanespharmacy.com,NA,NA,COVID-19 vaccines being offered:; 12 years and over,52.6002957,-6.9243994
Carlow,McCauley Health and Beauty Pharmacy Carlow,"Fairgreen Shopping Centre, Barrack Street, Carlow, Carlow, R93 H2C7",059 918 2082,https://www.google.ie/maps/search/R93%20H2C7,fairgreen@smcc.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.83509,-6.92571
Carlow,Mills Street Pharmacy,"Mill Street Pharmacy, Mill Street, Tullow, Carlow, R93 YC64",059 915 2200,https://www.google.ie/maps/search/R93%20YC64,NA,NA,NA,COVID-19 vaccines being offered:; 12 years and over,52.800231,-6.7340741
Carlow,Morgans Medical Hall,"The Square, Tullow, Carlow, R93 AN81",059 915 1313,https://www.google.ie/maps/search/R93%20AN81,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.8029355,-6.736165100000001
Carlow,Rathvilly Pharmacy,"Main Street, Rathvilly, Carlow, R93 N159",059 916 1668,https://www.google.ie/maps/search/R93%20N159,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups",NA,52.8808975,-6.694341199999999
Carlow,The Family Pharmacy Tullow,"Mill Street, Tullow, Carlow, R93 YN97",059 915 2200,https://www.google.ie/maps/search/R93%20YN97,info@thefamilypharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.8020787,-6.7356976
Carlow,Tullow Pharmacy,"The Square, Tullow, Carlow, R93 N1W7",059 915 1238,https://www.google.ie/maps/search/R93%20N1W7,NA,NA,NA,COVID-19 vaccines being offered:; 12 years and over,52.8029355,-6.736165100000001
Carlow,White's Pharmacy,"44 Tullow Street, Carlow Town, Carlow, R93 H2F5",059 913 1229,https://www.google.ie/maps/search/R93%20H2F5,pharmacy@whitescarlow.ie,NA,NA,COVID-19 vaccines being offered:; 12 years and over,52.8358907,-6.9276139
Cavan,Arvagh Pharmacy,"Main Street, Arvagh, Cavan, H12 V6D7",049 432 8550,https://www.google.ie/maps/search/H12%20V6D7,info@mcdaidpharmacy.ie,NA,NA,COVID-19 vaccines being offered:; 12 years and over,53.9236832,-7.5826122
Cavan,Boots Cavan,"91 Main Street, Abbeyland, Cavan, Cavan, H12 V2H6",049 438 0699,https://www.google.ie/maps/search/H12%20V2H6,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,53.9915189,-7.3603085
