County,Centre_Name,Address,latitude,longitude
Carlow,Carlow Vaccination Centre,"Woodford Dolmen Hotel, Kilkenny Road, Carlow, R93 N207",52.8138452,-6.9512933
Cavan,Cavan Vaccination Centre,"Kilmore Hotel, Dublin Road, Killygarry, Cavan, H12 F6Y7",53.98657129999999,-7.322304300000001
Clare,Ennis Vaccination Centre - West County Hotel,"Limerick Road, Clonroad More, Ennis, Clare, V95 C9CT",52.8367738,-8.9843331
Clare,Ennis Hospital Vaccination Centre,"Former Outpatients Department, Gort Road, Lifford, Ennis, Clare, V95 HN29",52.8589402,-8.9823706
Cork,Cork Vaccination Centre - City Hall,"City Hall, Anglesea Street, Cork City, Cork, T12T997",51.8964253,-8.4658561
Cork,Bantry Vaccination Centre,"Bantry Primary Care Centre, Dromleigh South, Bantry, Cork, P75TE27",51.6755548,-9.4480471
Donegal,Letterkenny Vaccination Centre,"Letterkenny Business Park, Ballyraine, Letterkenny, Donegal, F92 FP83",54.9612384,-7.713011
Dublin,Citywest Vaccination Centre,"Citywest Hotel, Saggart, Dublin, D24 A38Y",53.2860811,-6.4465107
Dublin,UCD Vaccination Centre (No walk-in clinics),"Gerard Manley Hopkins Building, Access Via Stillorgan Road entrance, Belfield, Dublin 4, Dublin, D04 FX62",53.3054942,-6.220521499999999
Dublin,Croke Park Vaccination Centre,"Jonses Road, Dublin 3, Dublin, D03 P6K7",53.3612346,-6.2530557
Dublin,Swords Vaccination Centre,"National Show Centre, Stockhole Lane, Cloghran, Swords, Dublin, K67 VF43",53.4368267,-6.225135499999999
Dublin,Richmond Barracks Vaccination Centre,"St. Michael's Estate, Inchicore, Dublin, D08YY05",53.3385804,-6.3163842
Galway,Galway Racecourse Vaccination Centre,"Galway Racecourse, Ballybrit, Galway, H91 V654",53.2981435,-8.9968298
Kerry,Kerry Vaccination Centre,"Borg Warner, Monavalley, Tralee, Kerry, V92 HT21",52.283596,-9.7089233
Kildare,Kildare Vaccination Centre - Punchestown Racecourse,"Naas, Kildare, W91 VCX4",53.1866831,-6.628854599999999
Kilkenny,Kilkenny Vaccination Centre - Cillin Hill Conference Centre,"Dublin Road, Lyrath, Leggettsrath, Kilkenny, R95 T294",52.6505023,-7.2330034
Laois,Laois Vaccination Centre,"St. Fintan's Campus, Stradbally Road, Portlaoise, Laois, R32XEN0",53.0358283,-7.284925599999999
Leitrim,Carrick on Shannon Vaccination Centre,"Primary Care Centre, Carrick on Shannon, Leitrim, N41 W3F1",53.9445035,-8.093128799999999
Limerick,Limerick Vaccination Centre,"Scoil Carmel, O’Connell Avenue, Limerick City, Limerick, V94 W3X5",52.6515087,-8.6366482
Longford,Longford Vaccination Centre - Clonguish GAA Club,"8 Railway Court, Lamagh, Newtownforbes, Longford, N39 A4E7",53.7662035,-7.830792100000001
Louth,Dundalk Vaccination Centre - Fairways Hotel,"Dublin Road, Haggardstown, Dundalk, Louth, A91 E6KC",53.9705451,-6.3894412
Mayo,Breaffy House Resort Vaccination Centre,"Breaghwy, Breaffy, Castlebar, Mayo, F23 TN97",53.84547740000001,-9.2363389
Meath,Navan Vaccination Centre - Simonstown GAA Club,"Proudstown Road, Navan, Meath, C15 N61X",53.6715476,-6.6858216
Meath,Fairyhouse Racecourse Vaccination Centre,"Fairyhouse Road, Ratoath, Meath, A85 XK30",53.4804773,-6.473584
Monaghan,Monaghan Vaccination Centre - Glencarn Hotel,"Monaghan Road, Moraghy, Castleblayney, Monaghan, A75 AP92",54.1239066,-6.7468468
Offaly,Offaly Vaccination Centre,"Mucklagh Community Centre, Mucklagh, Tullamore, Offaly, R35 DN02",53.25464239999999,-7.5410721
Roscommon,Roscommon Vaccination Centre,"Byron Hughes Building, Golf Links Road, Roscommon Town, Roscommon, F42 YX65",53.6233433,-8.185609
Sligo,Sligo Vaccination Centre,"Sligo Racecourse, Cleveragh Road, Sligo Town, Sligo, F91 EE95",54.2617269,-8.4605921
Tipperary,Nenagh Vaccination Centre,"Abbeycourt Hotel, Dublin Road, Nenagh, Tipperary, E45 KA99",52.86482909999999,-8.189563699999999
Tipperary,Clonmel Vaccination Centre,"Clonmel Park Hotel, Cahir Road, Clonmel, Tipperary, E91 X0N7",52.354787,-7.7325058
Waterford,Waterford Vaccination Centre - WIT Arena,"WIT Sports Campus, Carriganore, Waterford, X91 XD96",52.25068,-7.1852
Westmeath,Westmeath Community Vaccination Centre,"Moate Youth and Community Sports Centre, Church Street, Moate, Westmeath, N37 KW60",53.3963126,-7.7255613
Wexford,Gorey Vaccination Centre,"Kilanerin Community Centre, Kilanerin, Gorey, Wexford, Y25 P954",52.7324382,-6.2865496
Wexford,Enniscorthy Vaccination Centre,"Astro Active Centre, Bellefield, Enniscorthy, Wexford, Y21 W640",52.5069999,-6.5798527
Wicklow,Greystones Vaccination Centre - Shoreline Leisure Centre,"69 Mill Road, Killincarrig, Greystones, Wicklow, A63 HD25",53.13577,-6.0664717
