GP_Name,GP_Address,GP_LocationText,GP_LocationLink
115 Medical,"115 Morehampton Road, Donnybrook, Dublin, D04  A6y8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 A6y8
4th Practice Enhanced Medical Services,"Mallow Business Park, Goulds Hill, Mallow, Cork, P51  Y8ec",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Ntzwjkduwoaky6wg9
Abbeydorney Medical Centre,"Bridge Road, Abbeydorney, Kerry, V92  Yk5x",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Yk5x
Abbeygrove House Medical Practice,"Abbeygrove House Medical Practice, 31 Sir Harry's Mall, Limerick, Limerick, V94  Dy0x",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Dy0x
Abbey House Medical Centre,"Abbey Road, Navan, Meath, C15  D290",Location And Directions - Google Maps,Https://Maps.google.com/?Q=C15 D290
Abbeyknockmoy Health Centre,"Cullagh South, Abbeyknockmoy, Galway, H54  H103",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Zsbddog4roecpiju6
Abbeylands Medical,"Abbeylands Centre, Abbeyland, Kildare, W91  Ayt5",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Qyccyiavc5grwwoca
Abbeyleix Health Centre,"Ballinakill Road, Abbeyleix, Laois, R32  A006",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R32 A006
Abbeyleix Medical Centre,"Main Street, Abbeyleix, Laois, R32  R58p",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R32 R58p
Abbey Medical,"Grogan's Road, Townparks, Wexford Town, Wexford, Y35  Da39",Location And Directions - Google Maps,Https://Maps.app.goo.gl/7cxa13kn7ggcocpa8
Abbey Medical Centre - Limerick,"Killarney Road, Abbeyfeale, Limerick, Limerick, V94  Fp7r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Fp7r
Abbey River House Medical Practice,"Abbey River House, Charlotte's Quay, Limerick, Limerick, V94  C2nx",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 C2nx
Abbey Street Medical Centre,"18 Abbey Street, Roscommon Town, Roscommon, F42  Nv90",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F42 Nv90
Abbey Street Medical Centre,"71 Abbey Street Middle, Dublin City, Dublin, D01  E7k5",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D01 E7k5
Achill Doctors,"Pollagh, Keel, Achill, Mayo, F28  X3y6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F28 X3y6
Achill Sound Health Centre,"Saint Fionnans Road, Achill, Mayo, F28  W925",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F28 W925
Acorn Medical Practice,"Unit 4, Clonmahon Place, Ballinagh, Cavan, H12  K7y5",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H12 K7y5
Adamstown Health Centre,"Adamstown, Enniscorthy, Wexford, Y21  Te82",Location And Directions - Google Maps,Https://Maps.google.com/?Q=Y21 Te82
Adara Primary Care Centre,"Portnoo Road, Ardara, Donegal, F94  Rf29",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F94 Rf29
Adare Family Doctors,"Station Road, Adare, Limerick, V94  Kd45",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Kd45
Adare Medical Centre,"Adare Village Centre, Station Road, Adare, Limerick, V94  N6kw",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 N6kw
Agarwal Wellness And Medical Centre,"2 Church View, Lower Main Street, Lucan, Dublin, K78  Y5n9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K78 Y5n9
Ailesbury Clinic,"David Lloyd River View, Beech Hill Road, Clonskeagh, Dublin, D04  Af10",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 Af10
Airport Dental And Medical Cork,"Rathmacullig West, Farmers Cross, Ballygarvan, Cork, T12  H5fy",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 H5fy
Airton Medical,"Airton Road, Tallaght, Dublin, D24  Cf75",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Moxuaescuadmn2uh6
Alfa Medics,"Northside Shopping Centre, Oscar Traynor Road, Kilmore, Dublin, D17  R997",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D17 R997
Alfa Medics,"110 Main Street, Mulhuddart, Dublin, D15  Yh32",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 Yh32
Alpha Medical,"135 Parnell Street, Dublin 1, Dublin, D01  K0t2",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D01 K0t2
Amaranta Family Practice,"30 Ardagh Grove, Blackrock, Dublin, A94  W3y0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 W3y0
An Lialann,"College Avenue, Mountmellick, Laois, R32  Ae00",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R32 Ae00
Annaghdown Medical Centre,"Mace, Corrandulla, Galway, H91 Vh67",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91vh67
Annagh Medical Centre,"Doctors Road, Ballyhaunis, Mayo, F35  X932",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F35 X932
Annascaul Health Centre,"Church Avenue, Brackloon, Annascaul, Kerry, V92  Ka03",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Ljmcy1aynfp4udls7
An Neidin Family Practice,"Railway Road, Kenmare, Kerry, V93  Y02r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V93 Y02r
"Anver Amod, Tallaght","The Russell Building, Tallaght Cross West, Tallaght, Dublin, D24  Dh74",Location And Directions - Google Maps,Https://Maps.app.goo.gl/82ehelkjzal5xnfc6
Applewood Medical Centre,"Applewood Village, Swords, Dublin, K67  V2y0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K67 V2y0
Aranleigh Health Centre,"1 Aranleigh Mount, Rathfarnham, Dublin, D14  K822",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 K822
Ard Bryan Clinic,"Dublin Road, Bryanstown, Drogheda, Louth, A92  H4xh",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 H4xh
Ardfert Medical Centre,"Farranwilliam, Ardfert, Kerry, V92  Ekx9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Ekx9
Ardkeen Medical Centre,"Ardkeen Shopping Centre, Dunmore Road, Waterford City, Waterford, X91  Xe0a",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X91 Xe0a
Ardlea Medical Practice,"79 Upper O'connell Street, Ennis, Clare, V95  Pd2n",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V95 Pd2n
Ardmell Clinic,"Upper Mell, Drogheda, Louth, A92  Fk2a",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 Fk2a
Ardmore Health Centre,"Rocky Road, Ardmore, Waterford, P35  Tk61",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Kwb261flgwwzc6uy6
Ark Medical Centre,"Unit 1b, Pearse Road, Letterkenny, Donegal, F92  Tn92",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F92 Tn92
Arlington House Medical Centre,"Dublin Road, Oranmore, Galway, H91  Fxd0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Fxd0
